0.45% Sodium Cl 1000mL,last_updated_on,version,hospital_location,hospital_address,license_number|MO,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,
MRCP done with MR Abdomen,8436133,CDM,352,RC,71275,CPT,,,facility,inpatient,,,2140,620.6,MultiPlan,Primary Network,,1498,,,,1284,1750.52,percent of total billed charges,
MRCP done with MR Abdomen,8436133,CDM,352,RC,71275,CPT,,,facility,outpatient,,,2140,620.6,MultiPlan,Primary Network,,1498,,,,154.05,1750.52,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613359,CDM,352,RC,72125,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613359,CDM,352,RC,72125,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613401,CDM,352,RC,72126,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613401,CDM,352,RC,72126,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,,1297.8,,,,265.06,1516.57,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613414,CDM,352,RC,72126,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613414,CDM,352,RC,72126,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,,1297.8,,,,265.06,1516.57,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613408,CDM,352,RC,72127,CPT,,,facility,inpatient,,,2140,620.6,MultiPlan,Primary Network,,1498,,,,1284,1750.52,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613408,CDM,352,RC,72127,CPT,,,facility,outpatient,,,2140,620.6,MultiPlan,Primary Network,,1498,,,,154.05,1750.52,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613889,CDM,352,RC,72128,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613889,CDM,352,RC,72128,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613841,CDM,352,RC,72129,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613841,CDM,352,RC,72129,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,,1297.8,,,,154.05,1516.57,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613881,CDM,352,RC,72129,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613881,CDM,352,RC,72129,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,,1297.8,,,,154.05,1516.57,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613885,CDM,352,RC,72130,CPT,,,facility,inpatient,,,2140,620.6,MultiPlan,Primary Network,,1498,,,,1284,1750.52,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613885,CDM,352,RC,72130,CPT,,,facility,outpatient,,,2140,620.6,MultiPlan,Primary Network,,1498,,,,154.05,1750.52,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613629,CDM,352,RC,72131,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613629,CDM,352,RC,72131,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613647,CDM,352,RC,72131,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613647,CDM,352,RC,72131,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613623,CDM,352,RC,72132,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613623,CDM,352,RC,72132,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,,1297.8,,,,265.06,1516.57,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613637,CDM,352,RC,72132,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Bil w wo Cont w CAD,613637,CDM,352,RC,72132,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,,1297.8,,,,265.06,1516.57,percent of total billed charges,
MRI Breast Lt for Bilat Study,613643,CDM,352,RC,72133,CPT,,,facility,inpatient,,,2140,620.6,MultiPlan,Primary Network,,1498,,,,1284,1750.52,percent of total billed charges,
MRI Breast Lt for Bilat Study,613643,CDM,352,RC,72133,CPT,,,facility,outpatient,,,2140,620.6,MultiPlan,Primary Network,,1498,,,,154.05,1750.52,percent of total billed charges,
MRI Breast Lt for Bilat Study,9093171,CDM,352,RC,72191,CPT,,,facility,inpatient,,,2140,620.6,MultiPlan,Primary Network,,1498,,,,1284,1750.52,percent of total billed charges,
MRI Breast Lt for Bilat Study,9093171,CDM,352,RC,72191,CPT,,,facility,outpatient,,,2140,620.6,MultiPlan,Primary Network,,1498,,,,154.05,1750.52,percent of total billed charges,
MRI Breast Lt for Bilat Study,9094802,CDM,352,RC,72191,CPT,,,facility,inpatient,,,2140,620.6,MultiPlan,Primary Network,,1498,,,,1284,1750.52,percent of total billed charges,
MRI Breast Lt for Bilat Study,9094802,CDM,352,RC,72191,CPT,,,facility,outpatient,,,2140,620.6,MultiPlan,Primary Network,,1498,,,,154.05,1750.52,percent of total billed charges,
MRI Breast Lt for Bilat Study,613368,CDM,352,RC,72192,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Lt for Bilat Study,613368,CDM,352,RC,72192,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Lt for Bilat Study,7790106,CDM,352,RC,72192,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Lt for Bilat Study,7790106,CDM,352,RC,72192,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Lt for Bilat Study,8282227,CDM,352,RC,72192,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Lt for Bilat Study,8282227,CDM,352,RC,72192,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Lt for Bilat Study,8282231,CDM,352,RC,72192,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Lt for Bilat Study,8282231,CDM,352,RC,72192,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Lt for Bilat Study,8515979,CDM,352,RC,72192,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Lt for Bilat Study,8515979,CDM,352,RC,72192,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Lt for Bilat Study,9034211,CDM,352,RC,72192,CPT,,,facility,inpatient,,,3136,909.44,MultiPlan,Primary Network,,2195.2,,,,1881.6,2565.25,percent of total billed charges,
MRI Breast Lt for Bilat Study,9034211,CDM,352,RC,72192,CPT,,,facility,outpatient,,,3136,909.44,MultiPlan,Primary Network,,2195.2,,,,92.17,2565.25,percent of total billed charges,
MRI Breast Lt for Bilat Study,9034213,CDM,352,RC,72192,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Lt for Bilat Study,9034213,CDM,352,RC,72192,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Lt for Bilat Study,9032366,CDM,352,RC,72192,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Lt for Bilat Study,9032366,CDM,352,RC,72192,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Lt for Bilat Study,613726,CDM,352,RC,72193,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Lt for Bilat Study,613726,CDM,352,RC,72193,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,,1297.8,,,,154.05,1516.57,percent of total billed charges,
MRI Breast Lt for Bilat Study,613728,CDM,352,RC,72194,CPT,,,facility,inpatient,,,2140,620.6,MultiPlan,Primary Network,,1498,,,,1284,1750.52,percent of total billed charges,
MRI Breast Lt for Bilat Study,613728,CDM,352,RC,72194,CPT,,,facility,outpatient,,,2140,620.6,MultiPlan,Primary Network,,1498,,,,154.05,1750.52,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613862,CDM,352,RC,73200,CPT,,,facility,inpatient,,,3136,909.44,MultiPlan,Primary Network,50,2195.2,,,,1881.6,2565.25,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613862,CDM,352,RC,73200,CPT,,,facility,outpatient,,,3136,909.44,MultiPlan,Primary Network,50,2195.2,,,,92.17,2565.25,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,8148158,CDM,352,RC,73200,CPT,,,facility,inpatient,,,3136,909.44,MultiPlan,Primary Network,50,2195.2,,,,1881.6,2565.25,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,8148158,CDM,352,RC,73200,CPT,,,facility,outpatient,,,3136,909.44,MultiPlan,Primary Network,50,2195.2,,,,92.17,2565.25,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,1083810,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,1083810,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613446,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613446,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613475,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613475,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613514,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613514,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613532,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613532,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613572,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613572,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613871,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613871,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613911,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,613911,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,8148235,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,8148235,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,8153827,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast LT w wo Cont w CAD,8153827,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Right w Contrast,1083814,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Right w Contrast,1083814,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Right w Contrast,613442,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Right w Contrast,613442,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Right w Contrast,613469,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Right w Contrast,613469,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Right w Contrast,613512,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Right w Contrast,613512,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Right w Contrast,613530,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Right w Contrast,613530,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Right w Contrast,613568,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Right w Contrast,613568,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Right w Contrast,613866,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Right w Contrast,613866,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Right w Contrast,613907,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Right w Contrast,613907,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Right w Contrast,8148234,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Right w Contrast,8148234,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Right w Contrast,8153825,CDM,352,RC,73200,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Right w Contrast,8153825,CDM,352,RC,73200,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Right w Contrast,1053802,CDM,352,RC,73201,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,RT,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Right w Contrast,1053802,CDM,352,RC,73201,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,RT,1297.8,,,,221.71,1516.57,percent of total billed charges,
MRI Breast Right w Contrast,7913755,CDM,352,RC,73201,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,RT,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Right w Contrast,7913755,CDM,352,RC,73201,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,RT,1297.8,,,,221.71,1516.57,percent of total billed charges,
MRI Breast Right w Contrast,7991376,CDM,352,RC,73201,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,RT,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Right w Contrast,7991376,CDM,352,RC,73201,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,RT,1297.8,,,,221.71,1516.57,percent of total billed charges,
MRI Breast Rt for Bilat Study,7991400,CDM,352,RC,73201,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,RT,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Rt for Bilat Study,7991400,CDM,352,RC,73201,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,RT,1297.8,,,,221.71,1516.57,percent of total billed charges,
MRI Breast Rt for Bilat Study,1053822,CDM,352,RC,73201,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,LT,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Rt for Bilat Study,1053822,CDM,352,RC,73201,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,LT,1297.8,,,,221.71,1516.57,percent of total billed charges,
MRI Breast Rt for Bilat Study,7913751,CDM,352,RC,73201,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,LT,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Rt for Bilat Study,7913751,CDM,352,RC,73201,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,LT,1297.8,,,,221.71,1516.57,percent of total billed charges,
MRI Breast Rt for Bilat Study,7991372,CDM,352,RC,73201,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,LT,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Rt for Bilat Study,7991372,CDM,352,RC,73201,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,LT,1297.8,,,,221.71,1516.57,percent of total billed charges,
MRI Breast Rt for Bilat Study,7991396,CDM,352,RC,73201,CPT,,,facility,inpatient,,,1854,537.66,MultiPlan,Primary Network,LT,1297.8,,,,1112.4,1516.57,percent of total billed charges,
MRI Breast Rt for Bilat Study,7991396,CDM,352,RC,73201,CPT,,,facility,outpatient,,,1854,537.66,MultiPlan,Primary Network,LT,1297.8,,,,221.71,1516.57,percent of total billed charges,
MRI Breast Rt for Bilat Study,8442476,CDM,352,RC,73201,CPT,,,facility,inpatient,,,3708,1075.32,MultiPlan,Primary Network,50,2595.6,,,,2224.8,3033.14,percent of total billed charges,
MRI Breast Rt for Bilat Study,8442476,CDM,352,RC,73201,CPT,,,facility,outpatient,,,3708,1075.32,MultiPlan,Primary Network,50,2595.6,,,,221.71,3033.14,percent of total billed charges,
MRI Breast Rt for Bilat Study,1053808,CDM,352,RC,73202,CPT,,,facility,inpatient,,,2038,591.02,MultiPlan,Primary Network,RT,1426.6,,,,1222.8,1667.08,percent of total billed charges,
MRI Breast Rt for Bilat Study,1053808,CDM,352,RC,73202,CPT,,,facility,outpatient,,,2038,591.02,MultiPlan,Primary Network,RT,1426.6,,,,154.05,1667.08,percent of total billed charges,
MRI Breast Rt for Bilat Study,1083812,CDM,352,RC,73202,CPT,,,facility,inpatient,,,2140,620.6,MultiPlan,Primary Network,LT,1498,,,,1284,1750.52,percent of total billed charges,
MRI Breast Rt for Bilat Study,1083812,CDM,352,RC,73202,CPT,,,facility,outpatient,,,2140,620.6,MultiPlan,Primary Network,LT,1498,,,,154.05,1750.52,percent of total billed charges,
MRI Breast Rt for Bilat Study,5543848,CDM,352,RC,73206,CPT,,,facility,inpatient,,,2140,620.6,MultiPlan,Primary Network,LT,1498,,,,1284,1750.52,percent of total billed charges,
MRI Breast Rt for Bilat Study,5543848,CDM,352,RC,73206,CPT,,,facility,outpatient,,,2140,620.6,MultiPlan,Primary Network,LT,1498,,,,154.05,1750.52,percent of total billed charges,
MRI Breast Rt for Bilat Study,5543844,CDM,352,RC,73206,CPT,,,facility,inpatient,,,2140,620.6,MultiPlan,Primary Network,RT,1498,,,,1284,1750.52,percent of total billed charges,
MRI Breast Rt for Bilat Study,5543844,CDM,352,RC,73206,CPT,,,facility,outpatient,,,2140,620.6,MultiPlan,Primary Network,RT,1498,,,,154.05,1750.52,percent of total billed charges,
MRI Breast Rt for Bilat Study,1063835,CDM,352,RC,73700,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Rt for Bilat Study,1063835,CDM,352,RC,73700,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Rt for Bilat Study,5841882,CDM,352,RC,73700,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Rt for Bilat Study,5841882,CDM,352,RC,73700,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast Rt for Bilat Study,613351,CDM,352,RC,73700,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast Rt for Bilat Study,613351,CDM,352,RC,73700,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI BREAST RT W WO CONT W CAD,613487,CDM,352,RC,73700,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI BREAST RT W WO CONT W CAD,613487,CDM,352,RC,73700,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI Breast RT w wo Cont w CAD,613499,CDM,352,RC,73700,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast RT w wo Cont w CAD,613499,CDM,352,RC,73700,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI BREAST RT W WO CONT W CAD,613558,CDM,352,RC,73700,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast RT w wo Cont w CAD,613558,CDM,352,RC,73700,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI BREAST RT W WO CONT W CAD,613596,CDM,352,RC,73700,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast RT w wo Cont w CAD,613596,CDM,352,RC,73700,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI BREAST RT W WO CONT W CAD,613608,CDM,352,RC,73700,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast RT w wo Cont w CAD,613608,CDM,352,RC,73700,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI BREAST RT W WO CONT W CAD,7943866,CDM,352,RC,73700,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast RT w wo Cont w CAD,7943866,CDM,352,RC,73700,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,LT,1097.6,,,,92.17,1431,percent of total billed charges,
MRI BREAST RT W WO CONT W CAD,7943870,CDM,352,RC,73700,CPT,,,facility,inpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,940.8,1282.62,percent of total billed charges,
MRI Breast RT w wo Cont w CAD,7943870,CDM,352,RC,73700,CPT,,,facility,outpatient,,,1568,454.72,MultiPlan,Primary Network,RT,1097.6,,,,92.17,1431,percent of total billed charges,
