0.45% Sodium Cl 1000mL,last_updated_on,version,hospital_location,hospital_address,license_number|MO,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITHOUT ULTRASOUND GUIDANCE",7964746,CDM,610,RC,72196,CPT,,,facility,outpatient,,,2404,697.16,Aetna,First Health,,1966.47,,,,322.43,2145,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITHOUT ULTRASOUND GUIDANCE",7964758,CDM,610,RC,72196,CPT,,,facility,inpatient,,,2404,697.16,Aetna,First Health,,1966.47,,,,1442.4,1966.47,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITHOUT ULTRASOUND GUIDANCE",7964758,CDM,610,RC,72196,CPT,,,facility,outpatient,,,2404,697.16,Aetna,First Health,,1966.47,,,,322.43,2145,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITHOUT ULTRASOUND GUIDANCE",8451998,CDM,610,RC,72196,CPT,,,facility,inpatient,,,2404,697.16,Aetna,First Health,,1966.47,,,,1442.4,1966.47,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITHOUT ULTRASOUND GUIDANCE",8451998,CDM,610,RC,72196,CPT,,,facility,outpatient,,,2404,697.16,Aetna,First Health,,1966.47,,,,322.43,2145,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITHOUT ULTRASOUND GUIDANCE",7964766,CDM,610,RC,72197,CPT,,,facility,inpatient,,,2562,742.98,Aetna,First Health,,2095.72,,,,1537.2,2095.72,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITHOUT ULTRASOUND GUIDANCE",7964766,CDM,610,RC,72197,CPT,,,facility,outpatient,,,2562,742.98,Aetna,First Health,,2095.72,,,,322.43,2145,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITHOUT ULTRASOUND GUIDANCE",7285998,CDM,610,RC,72197,CPT,,,facility,inpatient,,,2518,730.22,Aetna,First Health,,2059.72,,,,1510.8,2059.72,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITHOUT ULTRASOUND GUIDANCE",7285998,CDM,610,RC,72197,CPT,,,facility,outpatient,,,2518,730.22,Aetna,First Health,,2059.72,,,,322.43,2145,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITHOUT ULTRASOUND GUIDANCE",7523994,CDM,610,RC,72197,CPT,,,facility,inpatient,,,2518,730.22,Aetna,First Health,,2059.72,,,,1510.8,2059.72,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITHOUT ULTRASOUND GUIDANCE",7523994,CDM,610,RC,72197,CPT,,,facility,outpatient,,,2518,730.22,Aetna,First Health,,2059.72,,,,322.43,2145,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITHOUT ULTRASOUND GUIDANCE",7523998,CDM,610,RC,72197,CPT,,,facility,inpatient,,,2518,730.22,Aetna,First Health,,2059.72,,,,1510.8,2059.72,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITHOUT ULTRASOUND GUIDANCE",7523998,CDM,610,RC,72197,CPT,,,facility,outpatient,,,2518,730.22,Aetna,First Health,,2059.72,,,,322.43,2145,percent of total billed charges,
